ID,CC,PI,Logo (.png)
352,IE,2201,IE_2201_RTE 1
353,IE,2202,IE_2202_RTE 2fm
354,IE,2203,IE_2203_RTELyric
355,IE,2204,IE_2204_RTE RnaG
356,IE,2205,IE_2205_Today FM
357,IE,2206,IE_2206_NEWSTALK
358,IS,A201,IS_A201_RUV R1
359,IS,A202,IS_A202_RUV R2
360,IT,5133,IT_5233_M DUE O
361,IT,5141,IT_5241_VIRGIN
362,IT,5206,IT_5206_RAI_GRPR
363,IT,5220,IT_5220_R ITALIA
364,IT,5233,IT_5233_M DUE O
365,IT,51CC,IT_51CC_R.MARIA
366,IT,5201,IT_5201_RAI
367,IT,5202,IT_5202_RAI
368,IT,5203,IT_5203_RAI
369,IT,5209,IT_5209_ISORADIO
370,IT,5210,IT_5210_RADICAL
371,IT,5211,IT_5211_105 FM
372,IT,5213,IT_5213_RMC 1
373,IT,5214,IT_5214_DEEJAY
374,IT,5215,IT_5215_R 101
375,IT,5218,IT_5218_RTL102.5
376,IT,5219,IT_5219_CAPITAL
377,IT,5225,IT_5225_KISSKISS
378,IT,5241,IT_5241_VIRGIN
379,IT,5245,IT_5245_RADIO 24
380,IT,5264,IT_5264_RDS
381,IT,53FD,IT_53FD_SUBASIO
382,LT,C321,LT_C321_LRT
383,LT,C322,LT_C322_LRT
384,LT,CA45,LT_CA45__ RC _
385,LU,7111,LU_7111_RTLRADIO
386,LU,7210,LU_7210_RTL.lu
387,LU,7303,LU_7303_RadioARA
388,LU,7315,LU_7315_E L D O
389,LU,7446,LU_7446_LATINA
390,LV,2201,LV_2201_STAR FM
391,LV,949A,LV_949A__ARTIST_
392,MD,1023,MD_1023_RADIO_VB
393,MD,1201,MD_1201_MOLDOVA
394,MD,7250,MD_7250_NOROC
395,ME,620D,ME_620D_DELFIN
396,ME,63C1,ME_63C1_RCG 1
397,ME,D2DE,ME_D2DE_PRVA
398,MK,4201,MK_4201_PRVA
399,MK,4202,MK_4202_VTORA
400,MK,4203,MK_4203_TRETA
401,NL,8201,NL_8201_NPO R1
402,NL,8202,NL_8202_NPO R2
403,NL,8203,NL_8203_NPO 3FM
404,NL,8204,NL_8204_NPO R4
405,NL,8331,NL_8331_CONTINU
406,NL,8353,NL_8353_FREEZ FM
407,NL,8508,NL_8508_RADIO8FM
408,NL,804E,NL_804E_TWENTEFM
409,NL,82A5,NL_82A5_SLAM_FM
410,NL,82A8,NL_82A8_SUBLIME
411,NL,83BE,NL_83BE_SIMONEFM
412,NL,83C6,NL_83C6_SKYRADIO
413,NL,83C7,NL_83C7_RADIO538
414,NL,83C8,NL_83C8_Q_music
415,NL,83D1,NL_83D1_BNR
416,NL,83D2,NL_83D2_RADIO 10
417,NL,83D3,NL_83D3_100_ NL
418,NL,830,NL_83E1_VERONICA
419,NL,8421,NL_8421_RADIONL
420,NL,850A,NL_850A_PUUR NL
421,PL,3205,PL_3205_RadioZET
422,PL,3211,PL_3211_JEDYNKA
423,PL,3222,PL_3222_DWOJKA
424,PL,3223,PL_3223_CZWORKA
425,PL,3232,PL_3232_RMARYJA
426,PL,3233,PL_3233_TROJKA
427,PL,3293,PL_3293_ESKA
428,PL,3399,PL_3399_RMFMAXXX
429,PL,3F44,PL_3F44_RMF FM
430,PT,8201,PT_8201_ANTENA 1
